ID;UM_NAMES
253;Котляковская ул.
254;1-й Котляковский пер.
255;2-й Котляковский пер.
256;Котляковский пр.
257;ул. Коцюбинского
258;Кочновский пр.
259;ул. Кошкина
260;пр. Кошкина
261;ул. Коштоянца
262;ул. Кравченко
263;ул. Крамского
264;Крапивенский пер.
265;пер. Красина
266;ул. Красина
267;1-й Красковский пр.
268;2-й Красковский пр.
269;Красковская ул.
270;Красная пл.
271;ул. Красная Пресня
272;ул. Красная Сосна
273;Красноармейская ул.
274;Краснобогатырская ул.
275;Красноворотский пр.
276;3-я Красногвардейская ул.
277;Красногвардейский бульв.
278;1-й Красногвардейский пр.
279;2-й Красногвардейский пр.
280;Тестовская ул.
281;1-й Красногорский пр.
282;2-й Красногорский пр.
283;3-й Красногорский пр.
284;4-й Красногорский пр.
285;Краснодарская ул.
286;Краснодарский пр.
287;Краснодонская ул.
288;Красноказарменная наб.
289;Красноказарменная пл.
290;Красноказарменная ул.
291;Красноказарменный пр.
292;Краснокурсантская пл.
293;1-й Краснокурсантский пр.
294;2-й Краснокурсантский пр.
295;Краснолиманская ул.
296;Краснополянская ул.
297;Краснопресненская наб.
298;пл. Краснопресненская Застава
299;Краснопролетарская ул.
300;Краснопрудная ул.
301;Краснопрудный пер.
302;Б. Краснопрудный туп.
303;М. Краснопрудный туп.
304;Верх. Красносельская ул.
305;М. Красносельская ул.
306;Нижн. Красносельская ул.
307;1-й Красносельский пер.
308;2-й Красносельский пер.
309;3-й Красносельский пер.
310;4-й Красносельский пер.
311;5-й Красносельский пер.
312;6-й Красносельский пер.
313;Красносельский туп.
314;Красносолнечная ул.
315;Красностуденческий пр.
316;Краснохолмская наб.
317;Нижн. Краснохолмская ул.
318;Красноярская ул.
319;пл. Красные Ворота
320;ул. Красный Казанец
321;ул. Красного Маяка
322;ул. Красных Зорь
323;Кременчугская ул.
324;Кремлёвская наб.
325;Кремлёвский пр.
326;аллея Кремлёвских Курсантов
327;ул. Кренкеля
328;2-й Крестовский пер.
329;пл. Крестьянская Застава
330;Крестьянская пл.
331;Крестьянский туп.
332;ул. Кржижановского
333;Кривоарбатский пер.
334;Кривоколенный пер.
335;Кривоникольский пер.
336;Криворожская ул.
337;Криворожский пр.
338;Кронштадтский бульв.
339;Пречистенская наб.
340;пл. Пречистенские Ворота
341;ул. Пречистенка
342;Кропоткинский пер.
343;ул. Крупской
344;ул. Крупской
345;Крутицкая наб.
346;Крутицкая ул.
347;ул. Крутицкий Вал
348;1-й Крутицкий пер.
349;2-й Крутицкий пер.
350;3-й Крутицкий пер.
351;4-й Крутицкий пер.
352;Крылатская ул.
353;1-я Крылатская ул.
354;2-я Крылатская ул.
355;ул. Крылатские Холмы
356;1-й Обыденский пер.
357;Крымская пл.
358;Крымская наб.
359;ул. Крымский Вал
360;Крымский пр.
361;Крымский туп.
362;Крюковская ул.
363;Крюковская пл.
364;Крюковский туп.
365;Ксеньинский пер.
366;Кубанская ул.
367;ул. Кубинка
368;Кудринский пер.
369;ул. Кузнецкий Мост
370;Кузнецовская ул.
371;ул. Кузнецова
372;Кузнечный туп.
373;Кузьминская ул.
374;Биржевая пл.
375;ул. Ильинка
376;Богоявленский пер.
377;Кулаков пер.
378;ул. Кулакова
379;Куликовская ул.
380;ул. Кульнева
381;пл. Белы Куна
382;пл. Цезаря Куникова
383;Кунцевская ул.
384;Б. Купавенский пр.
385;М. Купавенский пр.
386;Курганская ул.
387;ул. Герасима Курина
388;Куркинское ш.
389;Курская ул.
390;пл. Курского Вокзала
391;Курсовой пер.
392;пл. Академика Курчатова
393;ул. Академика Курчатова
394;1-я Курьяновская ул.
395;2-я Курьяновская ул.
396;3-я Курьяновская ул.
397;4-я Курьяновская ул.
398;5-я Курьяновская ул.
399;Курьяновский бульв.
400;1-й Курьяновский пр.
401;2-й Курьяновский пр.
402;Кусковская ул.
403;Кусковский просек
404;Кусковский туп.
405;Кустанайская ул.
406;ул. Кутузова
407;Кутузовский пер.
408;Кутузовский пр.
409;Кутузовский просп.
410;ул. Куусинена
